Comment,Encoded_Sentiment
tenho grandes expectativas pro grounded t ansioso pra jogar,1
i bet youre a great teacher im a nonnative speaker of english though i can understand you  your way of teaching is admirable,2
this is such an emotional experience to know what it feels like to have your life in danger was terrifying our dinosaur dying at the end to show that we all meet the end of life sooner or later was very smart writing the giant boulder chasing the dinosaur representing the death he was running from was perfectly done the dinosaur running faster after witnessing the deaths of his pterodactyl friends shows how the dinosaur felt the monochrome background also works in to express the traumatization that the poor rex experienced,1
everyone mumei do not google that mumei okay opens google,0
timestamps  main pic  scenes  effects  assets  code  systems  problem,1
oh my god apple is finally increasing the price of the base ipad and keeping the large bezels on the top and bottom to make sure it is ugly and everyone knows you couldnt afford the ipad air this is absolutely amazing max tech,2
stop premature christmas decorating every single filipino well shit,0
if youre reading this youre going to get the job this video is extremely helpful i definitely incorporated some of the techniques for my interview and i got the job thank you so much for this helpful information,2
my bio teacher is wellknown for not paying attention to any of her classes except chemistry and then at the end of the year giving out candy to all of her other classes and apologizing for being a shitty teacher of course that does nothing to raise my grade in her class but these videos do thanks so much yall for helping me understand this flipping course,0
give that guy on the tennis court an a for attitude good sense of humor,2
that end seems like they know exactly whats going on with the fromsoft crowd thats art,1
cest quoi le jeu  la fin de la vido si cest bien un jeu,1
if you are innocent why are you taking the th amendment  trump,0
imagine how embarrassing it must be for the teachers,0
the replay feature is actually pretty fire,2
im scared that bubs is gonna get too popular and that he wont be able to make these videos without getting recognized lmao,0
the parents need to go to jail for allowing their daughters to be allowed to be with r kelly,0
yooo long time no see just so youre updated ive spent the last week in north carolina and ive filmed no less than  big videos that are all dropping this july  for more tech fails,1
wieder super video isy und ich hab eine spinnenphobie trotzdem schau ich deine videos  wie machst du das immer super und sollte heute nicht gttin kommen,2
it was the decade of superman it was the decade of spielberg it was the decade of michael jackson it was the decade of back to the future it was the decade of innerspace it was the decade of scifi it was the decade of star wars it was the decade of spaceballs it was the decade of et it was the decade of aliens it was the decade of archie comics it was the decade of bob lazar it was the decade of top gun it was the decade of mike tyson it was the decade of die hard it was the decade of jean claude van damme it was the decade of brooke shields it was the decade of abba it was the decade of gremlins it was the decade of goonies it was the decade of dc comics it was the decade of indiana jones it was the decade of street hawk it was the decade of george lucas it was the decade of atari games it was the decade of gods must be crazy it was the decade of eddie murphy it was the decade of robocop it was the decade of police academy it was the decade of never ending story it was the decade of gi joe it was the decade of arnold it was the decade of stallone it was the decade of robert de niro it was the decade of al pacino it was the decade of godfather it was the decade of terminator it was the decade of flash gordon it was the decade of miami vice it was the decade of bruce willis it was the decade of the space shuttle it was the decade of airwolf it was the decade of knight rider it was the decade of mr t it was the decade of prince it was the decade of george michael it was the decade of madonna it was the decade of heman masters of the universe it was the decade of a space odyssey it was the decade of transformers it was the decade of predator it was the decade of donkey kong,1
i am a novice whos transitioning into frontend web development and this is the best tutorial ive seen well detailed using easy grammar and great explanatory videos thank you so much for this you make it so easy,2
i love speculative biology but this project has one problem as i see it the idea is presented that these amphibians wouldnt transition to forms of exothermic metabolism we have evidence that both crocodilians and dinosaurs could change from warmblooded to coldblooded and back again birds being warmblooded reptiles show the transition from ectothermic to exothermic lifestyles why wouldnt amphibians do the same over the eons in one shape or another,1
hermosa eleccin kissxuno los mortales abian apreciado tan hermosa mujer  elecciones   culturales    hopi sweeter  sun hotter  joonie cooler  yoongy butter  son unos de los mejores conciertos maas no se la sjfu  las elecciones cinematogrficas y artsticas son brillantes referencias culturales europeas realmente interesantes ojal la cultura europea se representara ms a menudo tan bellamente no puedo dejar de decir oh esto es hermoso a lo largo del video luz en serio el que se encargue de la iluminacin genial,1
when u are unhappy with the current situation u dont further destroy whats left of the economy but u can cut ties with the anc and put your hat in the ring in  its as simple as that,0
say what you want about nickel back i was never a giant fan but the drums and bass in this song are top tier great song,2
it will always be an honor to see wong in every marvel series or movie,2
boruto reaction mashup list   shippuden reaction mashup list,1
im surprised that google have such aggressive deadlines considering them not having any noticeable new products the past few years in addition to the closure of many of their products,0
is this what you think of our friendship is this what a bigh bot banship,1
bro the way he got so angry when his friend told the truth lmao,0
if you have read ulysses then im impressed that has got to be the most difficult book in the english language except for finnegans wake of course,1
alex jones defense might actually be brilliant i didnt do it on purpose look at the lawyer he hired sent the prosecution all the evidence they needed i didnt do it on purpose he lied under oath i didnt do it on purpose i mean hes clearly guilty of torturing the victims of an elementary school shooting his choosen defense is the only option that had at least a  chance of working but ultimately him hiding his own money so he can declare bankruptcy defense is much stronger the old white man defense,0
the whole idea of the interchangeable battery to keep going of the steel series is exactly the reason why xbox still uses aa batteries for their controllers i think is in an undervalued decision from xbox,0
music doesnt give me this feeling anymore omg,0
some vikings complained the baptism they were just given wasnt as nice as the last one lmao,0
i like what yall doing here gq,2
i remember when sidney powell said there were so many votes for trump it broke the algorithm i felt my iq drop when she said that i suspect several people developed actual brain cancer as a result,0
those of you studying get back to work because i personally think you got this and can keep going those of you trying to sleep put the screen brightness on low because we dont want eye strain and have a wonderful rest those of you here in tough times sad emotions and reminiscing feelings feel free to seek refuge in the comments and relax for a while its alright to stop time for a tiny bit,2
i swear i dont know what its doing this but every night when we go on a field trip and its night time and were on a highway this song always plays and it always hits different,1
i have never seen such a calm father when his son is gaming,1
hope yall see this before getting mad at me for skipping it lol i personally wouldnt get mad for something like that  but still im glad ive read the description first before watching the video like i always do,2
this is insanity never done before in the history of this platform hats off to you jimmy,0
i always listen to this in my research lab or when im studying its so peaceful,2
candy packaging is always so fun and im good its  am and im wide awake,2
he repeats his stories alot and tbh i think thats what made him such a good explainer he hones the same explanation until he masters it and finally blesses us young minds,2
mcconnells only goal is to become senate leader again why listen to him he acts only in selfinterest not for the good of americans hes supposed to be representing i think he cares who is in the white house not for americans interests but he cares like all narcissists only about how that president would impact his power mcconnell has refused to do his job for years by sitting on bills that americans want passed and refusing to act in fact he has been smugly crowing about it mcconnell like trump is very angry that he lost his position his only focus concern is getting his power back he has been in congress way too long hes secured his millions his days of glory are over he should be removed from office,0
if you see people praying to god and shit in the comments you know the mix is fire,0
its always refreshing to hear great minds cutting through the bs and everyday talking points of the propaganda machines and handing them their ass on a plate hats off to you sir,2
what is the best quality of humans the ability to love what is the best quality of ai the ability to think logically these two things are sometimes at odds with each other which the ai most likely figured out which is why it immediately tried to justify it by mixing them both together one cannot simply be compassionate and be logical at the same time most of the time we sacrifice a lot in the name of love which logically we shouldnt as such an ai who doesnt understand love or attachment is an which does not care for either and will willingly do what is logical even if it leads to suffering in order to achieve an objective in other words we have a psychopathic ai,0
this f is for respect not only to a great man but to the man who made a ton of nintendo games possible rip,2
these are actual adults who never grew beyond juvenile delinquency,0
you left off the most important consideration how many bottle holders do you have,1
lets put this in simplest terms the hadron collider is just a particle infuser,1
my theory here that plant creature could possibly be that fungus but in a more mutated form as seen previously in the missing persons and autopsy report videos whenever someone dies in the backrooms they get covered in this black coloured fungus this fungus is said to be growing and feeding itself onto the person it has attached itself onto mutating itself onto the dead body given that how it takes a long time for certain funguses to mutate   or even millions of years at best and also given that how time passes strangely in the backrooms as seen by the researcher who was in the informational video with the date  looked as if he teleported when that strange bizarre flash appeared and his other group researchers vanished however it wasnt teleportation but instead time travel that researcher was all of a sudden sent to the future a couple of months ahead as it was shown in the presentation video with the date  when the alarm rang out and cctv footage showing us the same researcher guy who by some miracle made it back to the entry gate point artificially created by async so by this logic the whenever someone dies in the backrooms the fungus on the dead body has already reached the mutation stage in a short amount of time the creature in this found footage has to be the driver who died in the car crash as seen in kanes secret video of  this car travelling at a really high speed on a highway suddenly no clipped through the road and due to the high speed the driver wasnt able to push the brakes in time to stop the car thus it crashed into the wall as seen in the footage the driver who was still alive at the time but badly injured seemed to have crawled his way to the room where this teenage girl encountered the creature and possibly bled to death there the fungus grew on him and later the entire room in its mutated form also it sounded like the creature was yelling out help in a distorted sound possible the last words of the driver before his death in that room which was seen in the original found footage video and later the pitfalls video that this creature seems to mimic the sounds of its last victims and in this case even its originator which is the driver its all just a theory which i just came up with dont take it canon lol,0
this is the type of content that really deserves money amazing job mrbeast,2
this is the struggles you face when you broadcast yourself doing illegal activity on the biggest video sharing platform in the world yet you still go on you still show your adventures and brighten peoples days you dont scream at us to smash like or subscribe you dont ask for anything you just do this because your passion is fascinating and you wanna show the world a side of it most may never think of wanting to venture into,2
notes all the information youll need will be on the test whether its in the passage or the little introduction brief before reading the passage skim the questions to see if therere any summarytheme questions and take note of the vocab words remember to read the titlelittle introduction for vocab questions read the whole sentence plus maybe the sentences before and after for context then substitute in each answer know what certain terms are  for twopart questions look at the second part and highlight all the quotes in the passage then read the first question only the question and try to see which quote answers every part of the question compare the quote to the first questions answers for the literature passage try to be engagedto have fun read challenging books beforehand for the debate passages read the first passage and answer all the passagespecific questions while its still fresh in your mind repeat for passage  especially for the sciencebased passages dont infer anything use the passagegraphs to back up each answer,1
pretty difficult to change the opinions of people whose opinions dont require evidence especially not by presenting evidence to the contrary,0
this is the most painful one on this list if you ask me out of all the premature celebrations out there resulting in losses this ones just different the game was over lol its not like someone tripped you up before getting a touchdown the game is literally over all you do is hold onto the ball for a couple seconds and thats it the washington wizards were up by  at that point even if the apposing team has time to foul you you hit just  free throw and its over even if you miss both they have to somehow rebound the ball and go for a full court shot to tie the game in an impossible amount of time long story short that throw lost them the game after ot lol just look at his fellow teammates staring at him in total disbelief afterwards gotta be one of the worst throws in sports history,0
as a vietnam veteran with ptsd i can honestly say you have your moments this is a mental illness but depending on what you experienced in a war it can bring back certain events ten years of therapy in  denied you dont have ptsd but now va says chronic ptsd i grew it over the last  years i was awarded ptsd this month my grandson joined the army at age  he did not need to do that skilled in plumbing and heating making about  per hour with  years of experience but my influence as a us army veteran of  years only x training,0
mega cooles video,2
jai aim ta dcore,1
i really believe in everything he has just said it is important to avoid procrastination guys i am telling you this because of my life experience i moved to canada when i was  years old and my life has changed completely i was studying computer engineering in my home country and was about to complete my rd year when my mother took the decision to move to canada it was really difficult at the beginning because of the language and culture my knowledge about english was probably between  and  so i had to invest part of time studying english i proposed to myself that i had to learn the language at a university level in  year and it worked i still need improvements but i feel really proud of myself because i was able to learn the language after having learned english i applied to university of toronto to study computer science and since the semester was going to start on september of the following year i took that year to study everything about my career i took my time to study advanced functions calculus physics and programming what do i mean about all of this you can learn everything you want if you really want to the crucial part of all of this is to believe that you can do it i personally do not believe in what the science says about the special kids we all are smart beings that have the same capacities to learn everything we want you can do it guys if you are willing to take the effort i hope you have a great day and i wish you all the best  never give up,1
this might be the most fun theyve had in a while on mystery tech,2
question is why would someone want to hide their rubiks cube that desperately,0
as a rule fights between two rhinos dont even end with injuries pretty certain that rhino fights have the highest mortality rate of any mammal other than humans,0
the way that hulk is in its own font and color in the captions reminds me of how in the comics when superheroes and villains say their own name the name is usually in its own color and font just like this,1
kyle you rock,2
i really loved the sounds but i had to cut out a lot because i didnt get the settings right i would love to recreate this video as a longer version what do you think,2
i really wish people would stop hoaxing this stuff thats why people have such trouble taking this topic seriously,0
another issue is that whenever you sink that much money into a single project the designers have to give up a significant amount of creative control business just wont allow that much money to be spent on an experiment everything ends up being the old tried and true so you end up with very samey uncreative bland games that look really nice,0
hola saludos desde colombia y  kawaii konnichiwa feliz da arigatou,1
i cant believe its almost a year since friday night funkin came out,1
the federal government guarantees the education loans the lending institution and the universitycollege are not liable for any of the loans thats the problem,0
you should add are you willing to sell your soul to understand algorithms,1
the more i learn the more i think im being punished for being born,0
literature  entertainment  sympathy  nice ordinary things,1
natie sempre to carinhosa quando posta vdeo de personagem m  at estranho rsrs mas mesmo assim o vdeo ficou perfeitinho como sempre raposinha linda,1
what about a  new imac surely about time,1
mooshelle was really sucking it in for that fancy pants dance with chase,0
no vejo a hora de lanarem assim o iphone  cai um pouco o preo e o  mini mais ainda porque  o que eu quero comprar ano que vem rsrsrs,1
time stamps  whisperd intro   coconut water sounds  assesing your skin  candle lighting  papaya enzyme cleansing balm  rinsing your face   watermelon hyalurnoic clay tightening   scalp massage   clipping your hair   removing face mask   fruit babies kit unboxing   pore refining toner application  serum application  ice globes   moisturizer application  retinol eye cream application   spf application  lip balm  if i mistakes anything fell free to correct me night time routine did you take a shower did you brush your hair and made it into a bun did you brush your teeth did you wash your face did you drink  full cup of water did you changed into your pjs did you put your alarm on welp thats it i hope you havehad a wonderful day stay safe stay strong,1
hi sundas i have a career in auditing and over time i ended up focusing on producing data models by pulling data from sap erp these days this work is often done by data analysts it requires knowing the data base and handling analytics tools sql script python etc i am learning python and i am preparing for the cap certified analytical professional certification to learn the methodology and accredit my qualification after listening to you i think i should prioritize statistics with my experience i think that i should orient myself towards business data analytics thanks for the info,1
im a gamer of all consoles i have only ever had to do one return and it was on playstation had my money back in my account in about  minutes i was surprised love gamepass have a great day,2
sick of cnbc only promoting these gurus that seem to have no financial background or successful track record other than selling to other poor people how to be rich fake it til you make it,0
im playing this shit  times already this boy is str smoke,0
my interview is august th i dont know what the out come will be can someone wish me good luck im a bit nervous,0
maybe its because i know shes an audiologist but she annunciates everything beautifully and speaks with an even sound level like she clearly works with the hearing impared to naturally say every sound in a word to be heard as easily as possible,2
taking the sat tomorrow ill come back when i get my scores my first psat score was  so hopefully itll be higher than that,2
for those who have not seen already i will be hosting a free live sat reading session on lighthall this wednesday pm est register for free here,1
as a year old who recently learned about the ww era and desegregation i could tell something was wrong but obviously didnt know what since i wasnt taught anything else this video really helped set things straight for me and you put it so clearly even a kid can understand thank you for making this video more people need to see this,2
i worried because my grass is dead wow you arent ready for this world lady,0
lets look at this from a consumer point of view paying developers a fee for timed exclusive is one thing no big deal thats just how the business is obviously you need a reason for customers to want to buy your console but for sony to intentionally go out of there way to essentially bribe multiple rd party developers to block a game ever going to gamepass and to ensure the customer continues to pay full price on there platform instead because they know they cant compete with it is about as anti consumer and monopoly driven as you can get and they have the nerve to call the activition deal harmful to the gaming industry  talk about the pot calling the kettle black  sony has no answer to gamepass there whole business model is about making mass profits out of there customers and making them think they cant go anywhere else this is simply sony running scared and trying to limit the damage to the profits they are inevitably going to lose from cod but i guarantee if sony were big enough of a company to buy activition themselves they would have done it in a heartbeat and you bet your bottom dollar they wouldnt leave cod multiplatform its apparently one rule for everyone else but completely another for sony  hypocrisy at its best,0
my macbook pro literally died last night so id say im safe,0
im majoring in biology so mad respect for you dr thor hanson,2
quero jogar esse lies of p parace muito bom,1
olha a cara do cadu no final kkkkkkk o feu ta nem a pra ele kkkkkk,1
an interesting fact is that patterson was excluded from the  national research council panel to investigate the danger of atmospheric lead poisoning due to political pressure the ethyl executives offered caltech sizable investments if they got rid of patterson,1
i nghin on piano qu c g anh ra bn full,1
muito boa essa msica to viciada nesse msica,2
dudes beating those drums like they owe him money,0
watching this made me want to eat quinoa now ive never tried it i wonder how it compares to rice,1
watching this the day before my bio exam and realizing that im so gonna fail,0
guy has an existential crisis whilst speedrunning a popular game altered for educational purposes,0
and barack obamas right it is a big f deal,0
crypto makes being a thief a piece of cake no government oversight you pump up the numbers on your wallet the value goes up up people think they will make a profit so they invest their cash months later the price drops the cash has already been transferred to an offshore account so long suckers,0
i will use this as a timer for cooking ribs,1
i came here to learn how to trade after listening to a guy on radio talk about the importance of investing and how he made  in  months from k somehow this video has helped shed light on some things but im confused im a newbie and im open to ideas,1
who does not have any principle is nitish,0
can we get a video on how a company that sucks so much money out of students is supposed to be nonprofit,0
bro you did my boy wrong by calling him talentless hippy,0
i love your videos so much,2
honestly i had doubts about this movie and if it should even be made but this trailer changed my mind its so powerful and this is now one of my most anticipated marvel movies definitely one of marvels best trailers ever the music the cinematography and emotion incredible,2
that little circle that you found in google maps is called like bigfoots thumbprint or something like that but i think that is a maze,1
i dont know about the rumor that we didnt know who boy george was at all in the us actually we all fell in love with him a true singer and flamboyant personality,2
oh boy cant wait to buy it in  years when theyre in stock,2
when faced with a problem mathematician i cannot prove im stuck physicist i solved it but it only applies to spherical chickens in vacuum engineer let me show you how is done,1
this right here is such classic vintage gibi that im surprised she didnt bust out the ol dio and put on the headphones,2
love how you have to manipulate and twist words and truths to make yourself presentable enough to hire cuz people dont actually want honest hardworking folk just people they can manipulate absolutely love it here,0
its either floods droughts or wildfires actually its all of them simultaneously  years from now we might actually start to think seriously about reducing emissions but i doubt it,0
mannn i really wish theyd bring some of these awesome items over to the java edition colored torches and sparklers balloons plus there are pocket edition items i wish theyd bring over too,2
who found this on the radio and searched theres a meeting in my bed,1
timmy if he can solve the white side in  seconds also timmy solve this puzzle in  seconds,1
bonjour madamme moi je suis du sngal mais jaimerais investir sur quelques choses mais jai pas beaucoup dides pourriezvous maider  concevoir un projet,1
i keep on getting med school ads on these bio videos and im like dude im just tryna pass grade  calm down,0
i wish stephen hawking was still alive to hear this,1
,1
daisy dont say hi to lorelei i owe her money pov character goes to lorelei first and gives her a paper that says daisy and nothing else damn we savage,0
while i really have no plans to get a steam deck im hoping that a little healthy competition for the switch will make nintendo step up their game with the next switch or with some sort of pro model like the fans have been crying for for years,1
i swear the old people laughing with finger waves is one giant acid trip,0
if youre not doing anything wrong you definitively have something to fear its not paranoia when theyre actively looking for something to accuse you of,0
i had my suspicions about this for a long time thank you for finally calling this issue out it sounds like theres a hole in the market for a truly high quality dashcam thats not chinese crap hopefully some tech company sees this and swoops in im tired of all these countless trash brands on amazon with unpronounceable names,0
computer science has to be treated like all the other science based subjects such as physics chemistry or biology its a shame most schools dont take cs as a serious subject,0
hermosa eleccin kissxuno los mortales abian apreciado tan hermosa mujer  hopi sweeter  sun hotter  kgyn joonie cooler  yoongy butter  son unos de los mejores conciertos maas no se la las elecciones cinematogrficas y artsticas son brillantes referencias culturales europeas realmente interesantes ojal la cultura europea se representara ms a menudo tan bellamente no puedo dejar de decir oh esto es hermoso a lo largo del video luz en serio el que se encargue de la iluminacin genia,1
the roman cuisine had a taste for flavored wine made from cooking down red wine with figs dates raisins added sometimes thyme or rosewater the residue from this process was sometimes used defruitum a thick syrup for a chicken marinade a real delicacy back than some roman merchant had a store in palmyra making this date syrup still a product in iran and syria today,1
what intelligence to be able to skillfully control those beautiful wings about  years ago my husband and i stopped by a large creek to meditate as i opened my eyes a group of five dragonflies that were traveling over the water suddenly stopped in front of my face hovered there for about  seconds then suddenly did a  degree turn in synchronized fashion and continued on their way down the creek it was otherworldly ill never forget it thank you for this excellent content,2
,1
wow a  kazillion year old fossil with writing on it that says ccp is eternalhonest,1
accidentally is a bit generous considering he knew the dangers and intentionally covered them up,0
do you remember what happens when we give unaccounted money and weapons to countries to fight proxy wars we keep making the same mistakes over and over,0
as a long time apple fanyour video was spot on and fair all those apple products you thought were awful really were awful i share your optimism for a new apple era where we get a better balance between performance function sizeweight and design,2
as someone who was bullied heavily as a kid i can see theres a few outcomes of that sort of situation and one of them is people become complete antisocial assholes like bauer,0
this is what we need more of people from different views talking it out and hearing what the other has to say and even if it gets heated they can both shake hands in the end and see the others as equals too often nowadays nobody wants to hear what the otherside has to say they just want to shut it down by saying that their side is better than the other and nothing more,0
hey can you make how to survive the darkness aka the glitch invasion,1
he attempted to take british somaliland which went pretty well he then attempted to take egypt which went less well then he attempted to take greece which went really badly churchill began to describe italy as europes soft underbelly,0
he teaches us opeanings endgames middle games tactics and ides entertains us with streams recapbest game bitsetc thankyou sooo much for all of it,2
amo seu contedo voc t evoluindo tanto,2
there are not nearly enough episodes in this series groot deserves more,0
as someone who does not live in the united states can anyone explain to me why the country is being held hostage by the nations halfwits,0
as a comp sci student i find it interesting how you explained this but rather than teaching i would more describe it as evolution you know like only the strongest or most fit for whatever task survive till the next generation just like in real life birds might not know why they fly south only that they do so every year same with the bots and their tasks i think explaining this way at least for me is easier because bots dont learn they evolve through the generations,1
ive seen the google maps cars couple of times when i was little and i remember being like damn is that like a new kind of car and i remember always talking that to my friends and they were like what and i would always think that i missed like a lolipop that they were giving away or sum,0
i remember having majority websites blocked in school oh my god that was such a freaking pain xd,0
no matter how tired i am when i come to lofi community the beats chill my soul and the comments warm my heart,2
this is the same guy that said a screen protector is useless,0
swatzar a bhai koi bta sakta hai tombnail pr parhe kolfi kiski haisorry hhh,1
thank you i find the following interview questions a bit uncomfortable  how do you deal with difficult people  insisting on knowing the salary which is not nice,0
hi there this was a great video that has told me exactly what i need to know could you recommend some groupscommunities that accept someone with no experience at all i have a physical version of my game and i know the rules inside and out i have learnt how to draw digitally and am transferring the art into a format that can be used in the game i want to make and a community that is welcoming and that gives feedbackadvie would be awesome,2
how can reporting on this be so bad the president has the authority to declassified documents not a single one of those documents is classified do better,0
